letter,word,category,example_sentences,chinese_word,chinese_example,word_english,example_sentences_english
A,ab,Allgemein/Grammatik,Ab morgen muss ich arbeiten.,从……起；离开,从明天起我必须工作。,from; starting,Starting tomorrow I have to work.
A,aber,Allgemein/Grammatik,"Ich bin oft im Büro, aber nur für wenige Stunden.",但是,我经常在办公室，但只待几个小时。,but,"I am often in the office, but only for a few hours."
A,abfahren,Reisen/Verkehr,Wir fahren um zwölf Uhr ab.,出发,我们十二点出发。,to depart,We depart at twelve o'clock.
A,die Abfahrt,Reisen/Verkehr,Vor der Abfahrt rufe ich an.,出发；发车,出发前我会打电话。,departure,I will call before departure.
A,abgeben,Wohnen,Ich muss meine Schlüssel abgeben.,交出；交还,我必须交出我的钥匙。,to hand in; to drop off,I have to hand in my keys.
A,abholen,Wohnen,Wann kann ich den Schrank bei dir abholen? | Wir müssen noch meinen Bruder abholen.,去取；接,我什么时候可以到你那里取柜子？| 我们还得去接我弟弟。,to pick up,When can I pick up the cabinet from you? | We still have to pick up my brother.
A,der Absender,Dienstleistungen,Da ist ein Brief für dich ohne Absender.,寄件人,有一封给你的信，但没有寄件人。,sender,There is a letter for you without a sender.
A,Achtung,Allgemein/Grammatik,Achtung! Das dürfen Sie nicht tun.,注意,注意！您不能那样做。,attention,Attention! You are not allowed to do that.
A,"die Adresse,-en",Person,Können Sie mir seine Adresse sagen?,地址,您能告诉我他的地址吗？,address,Can you tell me his address?
A,all- allein,Allgemein/Grammatik,Alles Gute! | Das ist alles. | Sind alle da? | Alle Freunde kommen. | Hast du alles? | Er kommt allein.,所有；独自,一切顺利！| 就这些。| 大家都到了吗？| 所有朋友都来。| 你什么都有了吗？| 他一个人来。,all; everything; alone,All the best! | That is everything. | Is everyone here? | All friends are coming. | Do you have everything? | He is coming alone.
A,also,Allgemein/Grammatik,"Also, es ist so:... | Er hat Zeit, also muss er uns helfen.",那么；所以,那么，情况是这样的：…… | 他有时间，所以他必须帮我们。,so; therefore,"So, it is like this: ... | He has time, so he has to help us."
A,alt,Person,Wie alt sind Sie? | Sie sehen aber nicht so alt aus. | Mein Auto ist schon sehr alt. | Wir wohnen in einem sehr alten Haus. | Köln ist eine alte Stadt.,老的；旧的；年龄大,您多大年纪？| 但您看起来没有那么老。| 我的车已经很旧了。| 我们住在一栋很老的房子里。| 科隆是一座古老的城市。,old,How old are you? | But you do not look that old. | My car is already very old. | We live in a very old house. | Cologne is an old city.
A,das Alter,Person,Alter: 26 Jahre.,年龄,年龄：26岁。,age,Age: 26 years.
A,an,Allgemein/Grammatik,Fahren Sie an der nächsten Straße nach rechts. | Wir treffen uns am Bahnhof. | Am nächsten Montag geht es leider nicht.,在；到；于,请在下一条街向右开。| 我们在火车站见面。| 下周一很遗憾不行。,at; on; to,"Turn right at the next street. | We are meeting at the train station. | Unfortunately, next Monday does not work."
A,anbieten,Essen/Trinken,Was darf ich dir anbieten?,提供；招待,我可以给你提供什么？,to offer,What may I offer you?
A,"das Angebot, -e",Einkaufen/Gebrauchsartikel,Heute sind Sportschuhe im Angebot.,优惠；报价,今天运动鞋在特价。,offer; special offer,Sports shoes are on special offer today.
A,ander- anfangen,Allgemein/Grammatik,"WiIlst du diese Jacke? | – Nein, ich möchte die andere. | Hier fängt die Bahnhofstraße an. | Der Unterricht fängt gleich an.",另一个；开始,你想要这件夹克吗？| 不，我想要另一件。| 这里是火车站街的起点。| 课马上开始。,other; to begin,"Do you want this jacket? | No, I would like the other one. | Bahnhofstraße begins here. | The class begins right away."
A,der Anfang,Zeit/Datum,Sie wohnt am Anfang der Straße. | Wir machen Anfang Juli Urlaub.,开始；开头,她住在街道的开头。| 我们七月初去度假。,beginning,She lives at the beginning of the street. | We are going on vacation at the beginning of July.
A,anklicken,Allgemein/Grammatik,Da musst du dieses Wort anklicken.,点击,你必须点击这个词。,to click on,You have to click on this word there.
A,ankommen,Reisen/Verkehr,Wann kommt dieser Zug in Hamburg an?,到达,这列火车什么时候到汉堡？,to arrive,When does this train arrive in Hamburg?
A,die Ankunft,Reisen/Verkehr,Auf diesem Plan steht nur die Ankunft(-szeit) der | Züge.,到达,这张计划表上只写了火车的到达（时间）。,arrival,This schedule only shows the arrival time of the trains.
A,ankreuzen,Dienstleistungen,Auf dem Formular müssen Sie an mehreren Stellen | etwas ankreuzen.,打叉；勾选,您必须在表格的几个地方打叉。,to tick; to check,On the form you have to tick something in several places.
A,anmachen,Wohnen,Mach bitte das Licht an!,打开（电器）,请把灯打开！,to turn on,Please turn on the light!
A,(sich) anmelden,Dienstleistungen,Wo kann ich mich anmelden?,报名；登记,我在哪里可以报名？,to register; to sign up,Where can I register?
A,die Anmeldung,Dienstleistungen,Eine Anmeldung für diesen Kurs ist nicht mehr möglich.,报名；登记,这个课程已经不能再报名了。,registration,Registration for this course is no longer possible.
A,die Anrede,Kommunikation/Sprache,Schreiben Sie auch eine Anrede und einen Gruß.,称呼；开头称谓,请也写上称呼和问候语。,salutation,Also write a salutation and a closing greeting.
A,anrufen,Kommunikation/Sprache,Kann man Sie anrufen? | Peter ruft kurz seine Freundin an.,打电话,可以给您打电话吗？| 彼得给他的女朋友打了个简短电话。,to call,Can someone call you? | Peter briefly calls his girlfriend.
A,"der Anruf, -e",Kommunikation/Sprache,Sie bekommt viele Anrufe auf ihrem Handy.,电话；来电,她的手机上收到很多电话。,call; phone call,She gets many calls on her mobile phone.
A,der Anruf- beantworter,Kommunikation/Sprache,Wir sind im Moment nicht da. Sprechen Sie bitte auf | den Anrufbeantworter.,电话答录机,我们现在不在。请在电话答录机上留言。,answering machine,We are not here at the moment. Please speak on the answering machine.
A,"die Ansage, -n",Kommunikation/Sprache,Hören Sie die Ansagen.,广播通知；提示语,请听这些广播通知。,announcement,Listen to the announcements.
A,der Anschluss,Reisen/Verkehr,In Mannheim haben Sie Anschluss nach Saarbrücken. | Ist das die Anmeldung für einen Telefonanschluss?,连接；转乘；接口,在曼海姆您可以转乘去萨尔布吕肯。| 这是电话接口的登记吗？,connection; extension,In Mannheim you have a connection to Saarbrücken. | Is that the registration for a telephone connection?
A,an sein,Allgemein/Grammatik,Heute Nacht war das Licht an.,开着,今天夜里灯是开着的。,to be on,The light was on last night.
A,antworten,Kommunikation/Sprache,Er antwortet nicht.,回答,他不回答。,to answer,He does not answer.
A,"die Antwort, -en",Kommunikation/Sprache,Er gibt leider keine Antwort.,回答；答案,很遗憾，他没有给出回答。,answer,"Unfortunately, he gives no answer."
A,"die Anzeige, -n",Kommunikation/Sprache,Ich habe Ihre Anzeige in der Zeitung gelesen.,广告；启事,我在报纸上读到了您的广告。,advertisement,I read your advertisement in the newspaper.
A,(sich) anziehen,Allgemein/Grammatik,Ich muss mich noch anziehen.,穿衣服,我还得穿衣服。,to get dressed,I still have to get dressed.
A,"das Apartment, -s",Wohnen,Wir haben ein Apartment gemietet.,公寓,我们租了一套公寓。,apartment,We rented an apartment.
A,"der Apfel, -Ä",Essen/Trinken,Ein Pfund Äpfel bitte.,苹果,请给我一磅苹果。,apple,"A pound of apples, please."
A,der Appetit,Essen/Trinken,Guten Appetit!,食欲；胃口,祝您好胃口！,appetite,Enjoy your meal!
A,arbeiten,Arbeit/Beruf,Wo arbeiten Sie?,工作,您在哪里工作？,to work,Where do you work?
A,"die Arbeit, -en",Arbeit/Beruf,Mein Bruder sucht Arbeit.,工作,我哥哥在找工作。,work; job,My brother is looking for work.
A,arbeitslos,Arbeit/Beruf,"Es gibt bei uns viele Leute, die schon lange arbeitslos | sind.",失业的,我们这里有很多人已经失业很久了。,unemployed,There are many people with us who have been unemployed for a long time.
A,"der Arbeitsplatz, -ä, e",Arbeit/Beruf,An meinem Arbeitsplatz fehlt ein Drucker.,工作岗位；工作地点,我的工作地点缺一台打印机。,workplace,There is no printer at my workplace.
A,"der Arm, -e",Gesundheit/Körper,Mein Arm tut weh.,胳膊,我的胳膊疼。,arm,My arm hurts.
A,"der Arzt, -Ä, e",Gesundheit/Körper,Morgen habe ich einen Termin bei meiner Ärztin.,医生,明天我有一个女医生的预约。,doctor,Tomorrow I have an appointment with my doctor.
A,auch,Allgemein/Grammatik,Ich bin auch Spanier.,也,我也是西班牙人。,also; too,I am Spanish too.
A,auf,Allgemein/Grammatik,Die Kinder spielen auf der Straße. | Auf Wiedersehen. | Wie heißt das auf Deutsch?,在……上；再见；用……语言,孩子们在街上玩。| 再见。| 这个用德语怎么说？,on; in; onto,The children are playing on the street. | Goodbye. | What is that called in German?
A,"die Aufgabe, -n",Erziehung/Ausbildung/Lernen,Das ist eine schwere Aufgabe.,任务；作业,这是一项困难的任务。,task; exercise,That is a difficult task.
A,aufhören,Allgemein/Grammatik,Der Kurs hört in einer Woche auf. | Hier hört die Bahnhofstraße auf.,停止；结束,课程一周后结束。| 火车站街到这里结束。,to stop; to end,The course ends in one week. | Bahnhofstraße ends here.
A,auf sein,Allgemein/Grammatik,Du brauchst den Schlüssel nicht. Die Wohnung ist auf.,开着；没锁,你不需要钥匙。公寓门是开着的。,to be open; unlocked,You do not need the key. The apartment is unlocked.
